"LATITUDE","LONGITUDE","pre"
39.24906833,-76.66933268,19
38.96316497,-76.93929568,20
38.96717225,-76.93865329,20
38.62441462,-76.91253662,18
39.52293095,-76.1843732,21
39.51769107,-76.18176207,21
39.51901737,-76.18498877,21
39.51876236,-76.18437722,21
39.52284612,-76.18438929,21
38.97756008,-76.49007797,22
38.9783274,-76.49108648,22
38.97549994,-76.48614049,22
38.98113807,-76.49475038,22
38.98193037,-76.48946643,22
38.97784783,-76.49751306,22
38.98099837,-76.49045616,22
38.98045001,-76.52549654,23
38.97823983,-76.49590373,22
38.9783837,-76.49334356,22
38.9783837,-76.49334356,22
38.97995377,-76.52192518,23
38.97815851,-76.49655282,22
38.978189,-76.493138,22
38.98018729,-76.49133325,22
38.97821898,-76.49317861,22
38.97814391,-76.4962846,22
38.97820855,-76.49628058,22
38.98014559,-76.52417421,23
38.98112139,-76.5282619,23
38.97832949,-76.49521977,22
38.97771751,-76.49441645,22
38.98074608,-76.52711391,23
39.17273353,-76.63332403,24
39.18169816,-76.6135186,25
39.22096923,-76.61342333,26
39.15912482,-76.61924243,27
39.17052892,-76.61946735,24
39.1833814,-76.6126178,25
39.21087098,-76.6148538,26
39.21087098,-76.6148538,26
39.07564322,-76.54436588,28
39.16572154,-76.62590504,24
39.16869944,-76.62144184,24
39.17184355,-76.63257837,24
39.17113327,-76.62129823,24
39.16588375,-76.62673116,24
39.21422257,-76.64398581,29
39.07432724,-76.54310592,28
39.07864158,-76.54702663,28
39.07562013,-76.54498432,28
39.19388218,-76.60935077,25
39.19990148,-76.61360979,25
39.16903365,-76.62871062,24
39.16082605,-76.61664069,27
39.1687858,-76.63167677,24
39.16658133,-76.6239016,24
39.21836287,-76.60831638,26
39.07458544,-76.54293895,28
39.07611381,-76.54242396,28
39.21312312,-76.64275608,29
39.21804625,-76.61387038,26
39.21578097,-76.61456667,26
39.21640232,-76.6432777,29
39.19129132,-76.61390552,25
39.21311607,-76.64291617,29
39.15167884,-76.63512111,30
39.17191009,-76.61957502,24
39.16681123,-76.62206411,24
39.17769107,-76.61649533,25
39.17769107,-76.61649533,25
39.17769107,-76.61649533,25
39.17769107,-76.61649533,25
39.15822635,-76.61877036,27
39.15822635,-76.61877036,27
39.17195058,-76.63266958,24
39.21812398,-76.61401749,26
39.19435565,-76.61330938,25
39.16400333,-76.62589978,24
39.14895608,-76.63824856,30
39.17067667,-76.62033667,24
39.16381663,-76.62557244,24
39.1867919,-76.61307107,25
39.1867919,-76.61307107,25
39.16684577,-76.62272302,24
39.167485,-76.62212849,24
39.17102842,-76.6213131,24
39.15861735,-76.61929607,27
39.18746224,-76.61375999,25
39.18228654,-76.61476046,25
39.18227303,-76.61472559,25
39.21849112,-76.63960907,29
39.1936655,-76.61345959,25
39.21611578,-76.6144806,26
39.15008139,-76.63688064,30
39.19256896,-76.61180735,25
39.19221868,-76.61370635,25
39.18833539,-76.61297679,25
39.16488971,-76.62497163,24
39.1649313,-76.62492871,24
39.18136492,-76.61168128,25
39.1807085,-76.61566436,25
39.17267946,-76.63322479,24
39.19363224,-76.61355615,25
39.21807411,-76.61412477,26
39.17172919,-76.63248718,24
39.14723584,-76.63988471,30
39.19477139,-76.61504745,25
39.22138897,-76.64363027,29
39.21814061,-76.61256909,26
39.18279833,-76.61260333,25
39.17234545,-76.63252397,24
39.14719007,-76.64012074,30
39.2245105,-76.61343477,26
39.21473672,-76.64360225,29
39.16380831,-76.62556171,24
39.21873517,-76.63842559,29
39.21873517,-76.63842559,29
39.21575499,-76.61472559,26
39.35946175,-76.70975089,48
39.29492527,-76.51168317,31
39.37655637,-76.54043913,32
39.31183853,-76.7305541,33
39.31183853,-76.7305541,33
39.28357622,-76.5064019,34
39.27525476,-76.71810865,35
39.36116228,-76.77827597,36
39.29509963,-76.511482,31
39.29509963,-76.511482,31
39.30958892,-76.47268653,37
39.39584085,-76.56316549,38
39.3722603,-76.80621386,39
39.39096867,-76.52803659,40
39.39096867,-76.52803659,40
39.37905365,-76.53830409,32
39.39314518,-76.56409085,38
39.37325555,-76.56781912,41
39.2836385,-76.50643677,34
39.31192154,-76.73169136,33
39.31217057,-76.73797846,33
39.39214607,-76.52694225,40
39.27816157,-76.50466919,34
39.36347347,-76.78429618,36
39.31277238,-76.74700677,33
39.37370445,-76.80938154,39
39.34369051,-76.73023224,42
39.35411105,-76.75937176,43
39.29045188,-76.50611222,31
39.29743481,-76.5022552,31
39.37337166,-76.80859566,39
39.40182288,-76.60455805,44
39.31974063,-76.45505905,45
39.40239356,-76.60299897,44
39.4004702,-76.60240889,44
39.39823174,-76.60298824,44
39.39974064,-76.60259128,44
39.4345233,-76.79858029,46
39.44769023,-76.81504503,47
39.45138932,-76.81946263,47
39.43098698,-76.79437995,46
39.40337492,-76.75696313,50
39.45042107,-76.81852922,47
