LATITUDE,LONGITUDE,pre
39.07325486,-77.13445991,82
39.069365,-77.13067,82
39.07397667,-77.13543333,82
39.07707333,-77.13926333,82
39.078675,-77.13873167,82
39.07353667,-77.13403167,82
39.07353667,-77.13403167,82
39.07647,-77.13926,82
39.0777754,-77.13333607,82
39.07171185,-77.13299274,82
39.07634285,-77.138502,82
39.09198065,-77.15315089,81
39.09198065,-77.15315089,81
39.08950867,-77.15169083,81
39.08986,-77.15252333,81
39.08999167,-77.15239333,81
39.09451,-77.15309667,81
39.09092519,-77.15305567,81
39.08007667,-77.144365,80
39.08291333,-77.14681,80
39.08345,-77.14692333,80
39.08196045,-77.14913964,80
39.08122167,-77.14769,80
39.08189382,-77.14920402,80
39.08189382,-77.14920402,80
39.08511469,-77.14820623,80
38.96135678,-76.86315984,79
38.96416395,-76.8595469,79
38.96416395,-76.8595469,79
38.96184481,-76.8622613,79
38.96231719,-76.86215401,79
38.96231719,-76.86215401,79
38.96122817,-76.86359283,79
38.91214025,-76.88077927,78
38.9162725,-76.88309669,78
38.91587181,-76.88370824,78
38.91587181,-76.88370824,78
38.91587181,-76.88370824,78
38.91689023,-76.88231617,78
38.91634763,-76.88265681,78
39.07392744,-76.84812069,77
39.07367756,-76.84764862,77
39.07396076,-76.84967637,77
39.07371505,-76.84789002,77
39.07567446,-76.8486625,77
38.9599886,-76.91761538,76
38.95319324,-76.92350149,76
38.95333091,-76.92309782,76
38.95757339,-76.92112505,76
38.95703318,-76.92165747,76
38.95544592,-76.92295432,76
38.95373556,-76.92367315,76
38.95597779,-76.9224903,76
38.95643979,-76.92221001,76
38.95917937,-76.91992074,76
38.96000946,-76.91747189,76
38.95708324,-76.92163534,76
38.95394414,-76.92337543,76
38.9574545,-76.92154348,76
38.9574545,-76.92154348,76
38.95885818,-76.91978931,76
38.9542591,-76.92329898,76
38.96017527,-76.91764757,76
38.84885242,-76.92473263,75
38.84885242,-76.92473263,75
38.84881586,-76.92455292,75
38.85077942,-76.92233205,75
38.84650549,-76.92697763,75
38.97442398,-76.97939873,74
38.97143371,-76.98030263,74
38.96889688,-76.97279647,74
38.96841828,-76.97062254,74
38.96841828,-76.97062254,74
38.96875195,-76.97296277,74
38.96990307,-76.97638392,74
38.97385575,-76.9825235,74
38.9716047,-76.97874427,74
38.80390675,-76.9851172,73
38.803659,-76.988222,73
38.80355977,-76.98780209,73
38.80421401,-76.98256776,73
38.80362143,-76.98757678,73
38.80362874,-76.98754594,73
38.80408233,-76.98220968,73
38.80324518,-76.98983386,73
38.76674422,-76.88902438,72
38.76915861,-76.88311815,72
38.76725136,-76.88746333,72
38.76674108,-76.88875481,72
38.76679964,-76.88882589,72
38.7676759,-76.88896671,72
38.76812552,-76.88480258,72
38.76631863,-76.89362168,72
38.85347712,-76.90913558,71
38.85537475,-76.9059813,71
38.8527262,-76.91180706,71
38.85316798,-76.91040292,71
38.8522604,-76.91510752,71
38.85323169,-76.9104445,71
38.8522792,-76.9151035,71
38.8548651,-76.90666795,71
38.85227502,-76.91509008,71
38.85311785,-76.90989196,71
38.85372882,-76.90812707,71
38.82944481,-76.94211602,70
38.8223235,-76.95030212,70
38.82369432,-76.94857478,70
38.82402866,-76.94887519,70
38.82645261,-76.94535613,70
38.82628544,-76.94539905,70
38.82249067,-76.95369244,70
38.83109548,-76.94115579,70
38.82404799,-76.94819324,70
38.98368384,-76.97823197,69
38.98646302,-76.98342741,69
38.9825517,-76.97931021,69
38.9915249,-76.98730052,69
38.97955343,-76.97844788,69
38.99083694,-76.98955894,69
38.98308129,-76.97911978,69
38.98678409,-76.98443055,69
38.98486599,-76.96933508,69
38.990048,-76.973895,69
38.98401743,-76.97931558,69
38.98401743,-76.97931558,69
38.99024487,-76.98745608,69
38.98360461,-76.9760178,69
38.9915791,-76.98720932,69
