0,cartodb_id,pre,longitude,latitude
0101000020E6100000AF39EE31A44453C0B86A09BF75864340,1435,118,-77.07252167,39.05046833
0101000020E6100000320395F1EF4453C03F7F6F0DCB864340,1473,118,-77.077145,39.05307167
0101000020E61000007342CF036B4453C0AB8868AE32864340,1532,118,-77.06903167,39.04842167
0101000020E6100000781101E2894453C02C9BBD5C59864340,1535,118,-77.0709157,39.04960212
0101000020E61000006D904946CE4453C02D8A89939C864340,1536,118,-77.07509,39.05165333
0101000020E610000080696A3CC54453C030ABE253A1864340,1561,118,-77.07453833,39.05179833
0101000020E6100000D4573E68894453C03501F18053864340,1606,118,-77.07088667,39.04942333
0101000020E6100000A002BBF5B54453C0E75CE5643D874340,1608,118,-77.07360595,39.0565611
0101000020E61000006376FD1FF34253C0188D84CF39834340,1433,117,-77.04608917,39.02520174
0101000020E6100000E9263108AC4253C023CBB4C300824340,1459,117,-77.04175,39.01564833
0101000020E610000046CAFDABDA4253C0BF53965BB9824340,1481,117,-77.04459667,39.02128167
0101000020E610000046CAFDABDA4253C0BF53965BB9824340,1482,117,-77.04459667,39.02128167
0101000020E6100000E99AC937DB4253C05E1E9D80C7824340,1546,117,-77.04463,39.02171333
0101000020E61000001EDC9DB5DB4253C09F93DE37BE824340,1585,117,-77.04466,39.02143
0101000020E61000001EDC9DB5DB4253C09F93DE37BE824340,1586,117,-77.04466,39.02143
0101000020E61000004908FB1BD94253C0B504329EB5824340,1587,117,-77.0445013,39.02116754
0101000020E6100000A43AFCB9D14253C060078CFD7E824340,1596,117,-77.04405069,39.01950044
0101000020E6100000BB4F2367404353C07D1375ACF3844340,1421,116,-77.05080584,39.03868633
0101000020E61000009499FB794D4353C0C5EDE94D39854340,1429,116,-77.05160379,39.04081129
0101000020E61000007D47437C564353C08E8002D6C7854340,1439,116,-77.05215365,39.04516101
0101000020E6100000B1ABE2F0364353C03B0EEE94AF844340,1441,116,-77.05022833,39.03660833
0101000020E61000003A89EF61424353C0CDCCCCCCCC844340,1447,116,-77.05092667,39.0375
0101000020E610000023A12DE7524353C0E1E37E4D77854340,1448,116,-77.051935,39.04270333
0101000020E6100000DBF97E6ABC4353C0087250C24C854340,1449,116,-77.058375,39.041405
0101000020E61000008542041C424353C03BEF944801854340,1487,116,-77.05091,39.03910167
0101000020E610000095607138F34353C05FEFFE78AF844340,1488,116,-77.06172,39.036605
0101000020E6100000CE70033E3F4353C0C2056E17F9844340,1489,116,-77.050735,39.03885167
0101000020E6100000FA13AEAA4B4353C082D5268819854340,1490,116,-77.05149333,39.03984167
0101000020E61000001651137D3E4353C0C2A38D23D6864340,1493,116,-77.050689,39.05341
0101000020E6100000B7936F534F4353C0D8E5C6BA59864340,1495,116,-77.05171667,39.04961333
0101000020E6100000F7E978CC404353C08532BF60D8864340,1502,116,-77.05083,39.05347833
0101000020E6100000E31934F44F4353C03EC0C550EF844340,1512,116,-77.051755,39.03855333
0101000020E610000033333333334353C0105839B4C8864340,1523,116,-77.05,39.053
0101000020E610000013B875374F4353C06D7E910AC2844340,1524,116,-77.05171,39.03717167
0101000020E6100000AF4B4343354353C0E316359015884340,1529,116,-77.0501259,39.06315806
0101000020E6100000E1EDFFEB354353C065A26BD316884340,1533,116,-77.05016613,39.06319659
0101000020E6100000576F1E982D4353C0D4D51D8B6D874340,1534,116,-77.04965785,39.0580305
0101000020E610000001FFADC7314353C08053ED0D1D884340,1542,116,-77.04991333,39.06338667
0101000020E61000007A10E954454353C01A69A9BC1D854340,1543,116,-77.05110667,39.03997
0101000020E6100000F3DC29BA414353C039004D4AE2874340,1548,116,-77.05088667,39.06159333
0101000020E610000083177D05694353C0BA78AA0943854340,1549,116,-77.053285,39.04110833
0101000020E6100000567DAEB6624353C0BA1457957D854340,1554,116,-77.0529,39.042895
0101000020E610000029E9C492B04353C09542C5DDC5844340,1560,116,-77.05765218,39.0372884
0101000020E6100000959A3DD00A4353C02B137EA99F874340,1563,116,-77.047535,39.05956
0101000020E6100000A306D3307C4353C0025A251EF1844340,1564,116,-77.054455,39.03860833
0101000020E610000030EC17891C4353C06F47382D78874340,1565,116,-77.04861667,39.058355
0101000020E6100000C8D64C21444353C077D66EBBD0864340,1574,116,-77.05103333,39.053245
0101000020E61000004291D54A344353C05E409A773D874340,1575,116,-77.05006667,39.05656333
0101000020E61000000A257AB65A4353C0A84785775A854340,1583,116,-77.05241167,39.04182333
0101000020E6100000EF5E0731844353C0ACA8C1340C854340,1584,116,-77.05494333,39.039435
0101000020E610000005457FAA424353C0361D8514D1864340,1607,116,-77.05094397,39.05325562
0101000020E6100000BA622DDB9A4353C0EC57CF831A854340,1612,116,-77.05632667,39.03987167
0101000020E6100000320395F1EF4353C0693524EEB1844340,1613,116,-77.06152,39.03668
0101000020E6100000320395F1EF4353C0693524EEB1844340,1614,116,-77.06152,39.03668
0101000020E61000009C6D6E4C4F4353C0E1BF0ED65E854340,1616,116,-77.051715,39.04195667
0101000020E6100000335D8064974353C04582EB8228854340,1617,116,-77.05611527,39.04029881
0101000020E61000007AFCDEA63F4353C06631B1F9B8864340,1619,116,-77.05076,39.05252
0101000020E61000004692A494654353C04198FCCB45854340,1627,116,-77.05307499,39.04119253
0101000020E610000033333333334353C06666666666864340,1635,116,-77.05,39.05
0101000020E6100000FBB3FE1AB94553C0E345D397AD874340,1420,115,-77.08942294,39.05998514
0101000020E61000008DFDFA5BE14553C01CD1DAC0DF874340,1438,115,-77.09187984,39.06151591
0101000020E6100000A9BC1DE1B44553C02F5CEBC5AF874340,1465,115,-77.089165,39.06005167
0101000020E61000009444DDA4B54553C0B2632310AF874340,1503,115,-77.08921167,39.06003
0101000020E610000006E123C5B44553C073043E79B7874340,1539,115,-77.08915833,39.06028667
0101000020E6100000520EE2DAFB4453C0C2C692C5BF8A4340,1415,114,-77.07787201,39.08397741
0101000020E61000009A779CA2234553C0C430F52DD2894340,1428,114,-77.0803,39.07672667
0101000020E6100000359886E1234553C0A66E99993A8A4340,1434,114,-77.080315,39.07991333
0101000020E6100000DD0720B5894453C01973D712F2894340,1461,114,-77.070905,39.0777
0101000020E6100000DAE1AFC91A4553C0CC7F48BF7D8B4340,1474,114,-77.07976,39.089775
0101000020E6100000D50451F7014553C0C27B79C7CA8A4340,1478,114,-77.078245,39.08431333
0101000020E6100000330243B9214553C003C48FF74B8A4340,1484,114,-77.08018333,39.08044333
0101000020E610000050798DC00C4553C0B38893C1F28A4340,1513,114,-77.07890333,39.08553333
0101000020E6100000273AE4C9224553C0CA4FAA7D3A8A4340,1514,114,-77.08024833,39.07991
0101000020E6100000DC1513FEF94453C09F9E0CC8BD8A4340,1515,114,-77.07775833,39.08391667
0101000020E6100000474620C1414553C0FBCBEEC9C38A4340,1522,114,-77.08213833,39.0841
0101000020E6100000D08AFBD1A84453C0962B3893218A4340,1525,114,-77.07280397,39.07914963
0101000020E6100000334C540CA34453C043E21E4B1F8A4340,1537,114,-77.07245167,39.07908
0101000020E6100000C2172653054553C0F79F6779BF8A4340,1538,114,-77.07845,39.08396833
0101000020E6100000392861A6ED4453C0AD41CA157F8A4340,1540,114,-77.077005,39.08200333
0101000020E61000001BFDFD9CA14453C0FA9B2F7A178A4340,1559,114,-77.07236409,39.07884147
