LIGHT_CODE,COUNTY_NO,MUNI_CODE,JUNCTION_CODE,COLLISION_TYPE_CODE,SURF_COND_CODE,LANE_CODE,RD_COND_CODE,RD_DIV_CODE,FIX_OBJ_CODE,REPORT_NO,WEATHER_CODE,ACC_DATE,ACC_TIME,LOC_CODE,SIGNAL_FLAG,C_M_ZONE_FLAG,AGENCY_CODE,AREA_CODE,HARM_EVENT_CODE1,HARM_EVENT_CODE2,RTE_NO,ROUTE_TYPE_CODE,RTE_SUFFIX,LOG_MILE,LOGMILE_DIR_FLAG,MAINROAD_NAME,DISTANCE,FEET_MILES_FLAG,DISTANCE_DIR_FLAG,REFERENCE_NO,REFERENCE_TYPE_CODE,REFERENCE_SUFFIX,REFERENCE_ROAD_NAME,LATITUDE,LONGITUDE
01,24,,03,01,03,,01,03,00,ADH5830001,08.04,01-06-2015,11:32:00,CAD#834,N,N,BALTIMORE,UNK,01,00,,UU,,0.233,E,ROUNDVIEW RD,30,F,E,4335,MU,,CHERRYLAND RD,39.24762576,-76.62081957
06.02,24,,01,03,02,2,01,02,00,ADH5830004,06.01,03-09-2015,18:59:00,2353,N,N,BALTIMORE,UNK,01,01,1,US,,2.599,N,FULTON AVE (NB COUPLET),12,F,N,,UU,,MCHENRY ST,39.2845063,-76.64498091
03,24,,01,09,01,4,00,01,00,ADH6480001,03,01-11-2015,23:30:00,2515,Y,N,BALTIMORE,UNK,01,00,147,MD,,3.883,N,HARFORD RD,75,F,N,1010,MU,,GLENMORE AVE,39.35708924,-76.55726194
01,24,,02,11,02,1,01,03,00,ADH6670005,06.01,03-17-2015,17:40:00,,N,N,BALTIMORE,UNK,01,00,4510,MU,,0.07,S,S PULASKI ST,0,F,S,,UU,,HOLLINS ST,39.28701019,-76.64995909
01,24,,01,88,02,1,01,01,00,ADH7320006,06.01,03-25-2015,15:00:00,1592,N,N,BALTIMORE,UNK,02,02,,MU,,0.12,E,W LAFAYETTE AVE,5,F,E,,MU,,POPLAR GROVE ST,39.29804091,-76.66501164
01,03,,02,02,04,1,01,01,00,ADH8940001,12.04,01-07-2015,16:00:00,5C16,N,N,BALTIMORE,UNK,01,00,,,,,,GUILFORD AVE,0,F,,,,,22ND ST,39.31447301,-76.61263347
03,03,,01,88,03,1,01,04,00,ADH8940002,10.04,01-07-2015,20:00:00,5C16,N,N,BALTIMORE,UNK,02,00,,,,,,CHARLES ST,10,F,,,,,34TH ST ,39.32966473,-76.61773503
01,03,,02,03,00,1,00,01,00,ADH8940003,00,01-07-2015,15:00:00,5C10,Y,N,BALTIMORE,UNK,01,00,,,,,,25TH ST,0,F,,,,,GREENMOUNT AVE,39.3181221,-76.60927534
01,24,,01,11,02,1,01,04,00,ADH9350001,06.01,02-07-2015,16:25:00,CAD#2050,N,N,BALTIMORE,UNK,01,01,147,MD,,3.4,N,HARFORD RD,50,F,N,,UU,,GIBBONS AVE,39.3507262,-76.56271219
01,24,,01,03,02,2,01,04,00,ADH9350002,06.01,03-02-2015,13:00:00,1409,Y,N,BALTIMORE,UNK,01,01,41,MD,,0.39,N,HILLEN RD,100,F,N,500,MU,,E 33RD ST,39.34007283,-76.60041332
01,24,,01,03,99,,01,04,00,ADH9350003,00,02-28-2015,12:00:00,1110,N,N,BALTIMORE,UNK,01,02,147,MD,,4.422,N,HARFORD RD,100,F,N,1021,MU,,E NORTHERN PKWY,39.36307843,-76.55150056
01,24,,01,03,02,2,01,04,00,ADH9350004,06.01,03-11-2015,15:15:00,2639,N,N,BALTIMORE,UNK,01,01,41,MD,,1.753,N,HILLEN RD,200,F,N,,UU,,PENTWOOD RD,39.34797175,-76.58517838
01,24,,02,11,02,1,01,04,00,ADH9350005,06.01,03-13-2015,16:15:00,2052,N,N,BALTIMORE,UNK,01,01,1140,MU,,0,W,WOODBOURNE AVE,0,F,W,41,MD,,PERRING PKWY,39.35414423,-76.57698154
01,24,,01,07,02,1,01,02,00,ADH951000L,06.01,01-01-2015,12:20:00,CAD1414,N,N,BALTIMORE,UNK,00,00,,,,0,N,4300 SHELDON AVE,0,M,N,,,,4300 FINDLAY,39.32671122,-76.56213418
03,24,,02,11,02,1,01,03,05,ADH9910012,06.01,01-31-2015,01:15:00,CAD#0221,Y,N,BALTIMORE,UNK,01,09,2915,MU,,1.62,S,HILLSDALE RD,0,F,S,1354,MU,,W FOREST PARK AVE,39.32034654,-76.69992328
01,24,,02,11,02,,01,03,00,ADI0540006,06.01,02-21-2015,08:56:00,CAD0763,N,N,BALTIMORE,UNK,01,00,2625,MU,,0.235,N,GORSUCH AVE,0,F,N,,UU,,KENNEDY AVE,39.32178242,-76.59556389
03,24,,02,02,01,1,01,04,00,ADI0540008,03,03-10-2015,20:00:00,CAD2460,Y,N,BALTIMORE,UNK,01,00,542,MD,,0.56,N,THE ALAMEDA,0,F,N,500,MU,,E 33RD ST,39.32835557,-76.59524202
01,24,,02,88,00,,01,01,00,ADI0540009,00,03-18-2015,19:00:00,CAD72385,N,N,BALTIMORE,UNK,01,02,,,,,,5600 SAGRA ,0,F,N,,,,1200 COCHRAN,39.35652928,-76.59257591
03,24,,01,17,00,1,01,04,04,ADI054000B,00,03-19-2015,22:43:00,CAD83229,N,N,BALTIMORE,UNK,16,88,542,MD,,1.81,N,LOCH RAVEN BLVD,4,F,N,2105,MU,,E COLD SPRING LA,39.34639536,-76.59193754
03,24,,01,07,03,1,01,02,00,ADI0620005,08.04,02-26-2015,07:09:00,385,N,N,BALTIMORE,UNK,02,00,5940,MU,,0,S,MARYDELL RD,20,F,S,144,MD,,FREDERICK RD,39.2795568,-76.6896987
01,24,,02,11,02,1,01,04,00,ADI221000C,06.01,03-21-2015,12:33:00,7B35,N,N,BALTIMORE,UNK,01,00,1023,MU,,1.911,E,GWYNNS FALLS PKWY,0,F,E,,UU,,WOODBROOK AVE,39.31738338,-76.64983034
01,24,,01,11,00,2,01,01,00,ADI221000F,07.01,03-28-2015,07:00:00,CAD#0479,N,N,BALTIMORE,UNK,01,00,1023,MU,,0,E,GWYNNS FALLS PKWY,5,F,E,3070,MU,,GWYNN FALLS PKWY,39.31613831,-76.65249109
01,03,,01,03,02,2,01,01,00,ADI4110001,12.04,01-06-2015,14:20:00,,N,N,BALTIMORE,UNK,01,00,,,,,,FREDERICK AVE,10,F,E,,,,S BENTALOU,39.28468899,-76.65277004
01,24,,01,03,00,1,01,04,00,ADI4880002,06.01,03-24-2015,17:45:00,2033,N,N,BALTIMORE,UNK,01,01,500,MU,,0,W,E 33RD ST,0,U,W,501,MU,,E 32ND ST,39.3284864,-76.59460634
01,24,,01,07,02,1,01,03,00,ADI4880003,06.01,03-26-2015,14:25:00,1563,N,N,BALTIMORE,UNK,02,00,2425,MU,,0,E,HAZELWOOD AVE,100,U,E,,UU,,BALTIMORE CO/L,39.34161514,-76.53419897
01,24,,01,88,03,,01,99,00,ADI4990007,08.04,01-06-2015,08:10:00,CAD503,Y,N,BALTIMORE,UNK,02,02,,,,,,ANNTANA AVE,75,F,,,,,GERLAND AVE,39.33443643,-76.54190764
03,24,,01,05,02,,01,00,88,ADI5220004,00,03-29-2015,02:30:00,CAD#0339,N,N,BALTIMORE,UNK,01,02,1920,MU,,0.893,,PAYSON ST,6,F,,,UU,,EDMMONDSON AVE,39.2953508,-76.64907932
07.88,24,,01,03,02,,01,01,00,ADI5220005,00,03-30-2015,01:15:00,CAD#0131,N,N,BALTIMORE,UNK,01,01,4150,MU,,0.248,W,WINCHESTER ST,0,U,W,,UU,,WHITMORE AVE,39.30137018,-76.65825248
03,24,,02,11,01,1,00,03,00,ADI5520001,03,01-03-2015,18:54:00,CAD#1874,Y,N,BALTIMORE,UNK,01,00,,MU,,1.89,N,N HOWARD ST,0,F,N,,MU,,W 24TH ST,39.31623792,-76.61965013
01,24,,01,08,02,1,01,01,00,ADI693000D,06.01,03-12-2015,15:30:00,CAD#1825,N,N,BALTIMORE,UNK,01,00,,,,,,N. AUGUSTA AVE,0,F,,,,,LINDLEY RD,39.30104017,-76.6862306
01,24,,02,17,02,1,01,03,05,ADI7700001,06.01,01-19-2015,16:50:00,CAD1886,N,N,BALTIMORE,UNK,00,00,,MU,,2.397,E,E COLD SPRING LA,0,F,E,,UU,,OVERLAND AVE,39.34521719,-76.57833338
03,24,,02,03,01,1,01,01,00,ADI7700002,12.04,01-26-2015,21:50:00,CAD2852,Y,N,BALTIMORE,UNK,01,00,,MU,,0.35,N,GORSUCH AVE,0,F,N,,MU,,KIRK AVE,39.32282819,-76.59721076
06.02,24,,02,11,02,1,01,01,00,ADI7700008,07.01,02-13-2015,07:30:00,CAD0487,N,N,BALTIMORE,UNK,01,01,,MU,,1.646,E,E BELVEDERE AVE,0,F,E,,UU,,NASCO PL,39.35942442,-76.58727586
01,24,,01,11,02,1,01,01,00,ADI7700009,07.01,02-13-2015,17:15:00,CAD2383,N,N,BALTIMORE,UNK,01,01,,MD,,5.16,N,HARFORD RD,5,F,N,,UU,,HILLCREST AVE,39.37181243,-76.54456973
01,24,,01,17,02,2,01,01,08,ADI770000G,06.01,02-14-2015,16:00:00,CAD1852,N,N,BALTIMORE,UNK,09,09,,MU,,0.12,S,ERDMAN AVE,30,F,S,,UU,,KENLY AVE,39.32666877,-76.58160299
01,24,,02,11,02,2,01,01,00,ADI770000J,06.01,02-13-2015,14:45:00,CAD1865,N,N,BALTIMORE,UNK,01,01,,US,,8.455,N,BELAIR RD,0,F,N,,UU,,LAWNVIEW AVE,39.32023241,-76.57527298
06.02,24,,01,06,03,1,01,02,00,ADI770000R,08.04,02-21-2015,18:10:00,CAD1759,N,N,BALTIMORE,UNK,01,02,,MU,,1.97,E,E COLD SPRING LA,250,F,E,,MD,,HILLEN RD,39.3459494,-76.58439785
03,24,,01,03,02,1,01,04,00,ADI770000V,00,03-22-2015,01:50:00,CAD2874,N,N,BALTIMORE,UNK,01,00,,MD,,3.14,N,HARFORD RD,10,F,N,,UU,,RUECKERT  AVE,39.34826628,-76.56497061
01,24,,02,17,02,1,01,01,00,ADI8000002,06.01,01-30-2015,15:45:00,CAD#2099,Y,N,BALTIMORE,UNK,03,00,,,,,,4100 FREDERICK AVE,0,F,,,,,300 S. AUGUSTA,39.28167449,-76.68464541
00,24,,01,08,04,1,00,01,00,ADI8000003,00,02-24-2015,19:35:00,2190,N,N,BALTIMORE,UNK,01,00,,,,,,5200 WINDSOR MILL,500,F,,,,,2100 WHEATLEY DR,39.31114124,-76.69418335
99,24,,01,01,99,,01,01,00,ADI8310002,06.01,01-25-2015,14:30:00,CAD 1510,N,N,BALTIMORE,UNK,02,00,1591,MU,,0,N,HOMEWOOD AVE,10,F,N,1,US,,NORTH AVE,39.32259787,-76.60013437
01,24,,03,11,02,1,01,03,00,ADI8310005,06.01,02-06-2015,09:10:00,586,N,N,BALTIMORE,UNK,01,02,4650,MU,,0,E,E 25TH ST,0,F,E,4640,MU,,W 25TH ST (BACK),39.31687705,-76.59647584
01,24,,02,11,02,1,01,03,08,ADI8550003,06.01,02-28-2015,10:04:00,CAD0942,Y,N,BALTIMORE,UNK,01,01,147,MD,,1.4,N,HARFORD RD,0,F,N,1050,MU,,ERDMAN AVE,39.32800078,-76.5836522
99,24,,01,88,99,1,01,01,00,ADI8550004,06.01,03-08-2015,12:00:00,CAD1114,N,N,BALTIMORE,UNK,02,00,542,MD,,3.124,N,LOCH RAVEN BLVD,50,F,N,,UU,,WADSWORTH WAY,39.36425008,-76.58582479
01,24,,01,07,03,1,99,01,00,ADI9540004,08.04,03-05-2015,17:00:00,41471,N,N,BALTIMORE,UNK,00,00,1680,MU,,0.864,W,E FAYETTE ST,0,U,W,,UU,,N MADEIRA ST,39.2942631,-76.58572018
03,02,,01,03,02,1,01,01,11,AC09240018,06.01,01-10-2015,20:52:00,3A3,N,N,AACOPD,UNK,01,09,173,MD,,4.26,N,FORT SMALLWOOD RD,50,F,N,1695,CO,,ROCK HILL RD,39.14633722,-76.52436733
01,02,,01,03,02,1,01,04,00,AC0937000W,06.01,03-21-2015,16:37:00,5D3,N,N,AACOPD,UNK,01,00,,IS,,5.6,N,NO NAME,900,F,N,,RP,,RAMP 5 FR IS 97 SB TO RAMP 2 (TO MD 178),39.05298484,-76.62826538
01,02,,01,17,02,1,01,01,00,AC1245000M,06.01,02-03-2015,14:38:00,4B1,N,N,AACOPD,UNK,11,12,2714,CO,,0,N,PATUXENT RIVER RD,0,M,N,2732,CO,,QUEEN ANNE BRIDGE RD,38.90061878,-76.66255474
03,02,,02,17,01,1,01,01,08,AC1333000D,06.01,02-21-2015,03:39:00,,N,N,AACOPD,UNK,09,00,648,MD,D,0.53,N,BALTO ANNAPOLIS BLVD,0,F,N,4067,CO,D,GLEN OBAN DR,39.03798298,-76.51430662
04,23,,00,17,01,1,01,01,23.03,ZW01310009,03,01-23-2015,19:49:00,,N,N,WORCESTER,UNK,16,09,368,MD,,0,N,ST MARTINS NECK RD,50,F,N,220,CO,,ST MARTINS NECK RD (BACK),38.42504397,-75.16897738
04,23,,00,17,02,1,01,01,23.03,ZW0134000D,88,02-03-2015,18:48:00,,N,N,WORCESTER,UNK,16,00,53,CO,,0.45,S,DUN SWAMP RD,1,M,S,274,CO,,POCOMOKE BELTWAY,38.045202,-75.565152
03,23,,00,17,04,1,88,01,10,ZW0134000F,06.01,02-17-2015,20:05:00,,N,N,WORCESTER,UNK,09,00,368,MD,,0.06,N,ST MARTINS NECK RD,200,F,N,219,CO,,AMES RD,38.441563,-75.19212
04,23,,01,17,01,1,88,01,23.03,ZW0134000G,03,03-10-2015,21:29:00,,N,N,WORCESTER,UNK,09,00,220,CO,,1.9,S,ST MARTINS NECK RD,100,F,S,336,CO,,BACK CREEK RD,38.425377,-75.169437
04,23,,01,17,04,1,04,01,10,ZW01410009,12.04,02-14-2015,23:25:00,,N,N,WORCESTER,UNK,16,09,220,CO,,2.41,S,ST MARTINS NECK RD,500,F,S,,UU,,COOPER LA (PVT),38.42092514,-75.16054535
04,23,,01,03,04,1,04,01,00,ZW0141000B,12.04,02-14-2015,23:25:00,,N,N,WORCESTER,UNK,02,00,220,CO,,2.41,S,ST MARTINS NECK RD,500,F,S,,UU,,COOPER LA (PVT),38.42092514,-75.16054535
04,23,,01,17,04,1,01,03,11,ZW01450007,03,01-12-2015,05:36:00,23,N,N,WORCESTER,UNK,09,09,12,MD,,13.95,N,SNOW HILL RD,400,F,N,354,MD,,WHITON RD,38.19340261,-75.41833162
05.02,23,,00,17,01,1,01,01,10,ZW0152000B,03,01-18-2015,08:34:00,,N,N,WORCESTER,UNK,16,09,320,CO,,0,S,BOWDEN RD,1,M,S,125,CO,,LANGMAID RD (BACK),38.228934,-75.277604
01,23,,01,17,04,1,01,01,11,ZW0152000C,09.04,02-10-2015,09:41:00,,N,N,WORCESTER,UNK,16,09,79,CO,,0,E,LITTLE MILL RD,1,M,E,308,CO,,HOLLY SWAMP RD,38.044036,-75.448379
